Periode;Production.Totale.Brute;Production.Totale.Nette;Production brute d'électricité primaire (en GWh);Production nette d'électricité primaire (en GWh);Production.Brute.Nucléaire;Production nette d'électricité nucléaire (en GWh);Production brute d'électricité hydraulique (en GWh);Production nette d'électricité hydraulique (en GWh);Production brute d'électricité éolienne (en GWh);Production nette d'électricité éolienne (en GWh);Production brute d'électricité photovoltaïque (en GWh);Production nette d'électricité photovoltaïque (en GWh);Production brute d'électricité thermique (en GWh);Production nette d'électricité thermique (en GWh);Électricité absorbée pour les pompages (en GWh);Total des importations physiques d'électricité (en GWh);Total des exportations physiques d'électricité (en GWh);Energie appelée réelle yc pertes (consommation calculée yc pertes) (en GWh);Livraisons en basse tension (BT : FC + Corse) (en GWh);Livraisons en moyenne tension (MT : FC + Corse) (en GWh);Livraisons en haute tension (en GWh);Energie appelée réelle yc pertes corrigée du climat (en GWh);Livraisons en basse tension corrigées du climat (en GWh);Livraisons en moyenne tension corrigées du climat (en GWh);Consommation d'électricité primaire (en GWh);Consommation d'électricité primaire corrigée du climat (en GWh);Puissance maximale appelée (en GW);Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période 1986-2015) (sans unité)
janv-81;27673.76;26411;15710.6;15125;9382.09;8874;6328.51;6251;0;0;0;0;11963.16;11286;95;1216;1598;25934;9785;6269;6011;25497.28469;9460.812715;6221.623958;14648;14428.26506;42.8;1.076147389
févr-81;25285.86978;24108;13892.98978;13360;8657.869384;8189;5235.1204;5171;0;0;0;0;11392.88;10748;61;1040;1445;23642;8886;6033;5653;22764.36505;8227.719042;5927.610109;12894;12451.24635;42.2;1.177794911
mars-81;24890.04866;23808;15685.00866;15124;8802.713456;8326;6882.2952;6798;0;0;0;0;9205.04;8684;87;845;1672;22894;7712;6043;6396;23976.01217;8532.429212;6174.943778;14210;14844.37769;39.7;0.78632392
avr-81;21687.4517;20787;15225.6917;14691;8308.974904;7859;6916.7168;6832;0;0;0;0;6461.76;6096;96;813;1188;20316;6054;5403;6176;20167.58062;5946.749211;5381.432181;14220;14106.92394;36.8;1.040078214
mai-81;21439.90385;20543;15613.08385;15046;8968.702648;8483;6644.3812;6563;0;0;0;0;5826.82;5497;97;638;1478;19606;5675;4914;6401;18319.89437;4761.446146;4713.05142;14109;13000.4127;35.9;1.426366195
juin-81;20196.97631;19380;15173.63631;14641;8275.142712;7827;6898.4936;6814;0;0;0;0;5023.34;4739;144;655;1325;18566;4649;5271;6391;18566;4649;5271;13827;13827;32.7;1
juil-81;19727.38047;18918;14905.44047;14369;8444.303672;7987;6461.1368;6382;0;0;0;0;4821.94;4549;128;667;1031;18426;4570;5051;6374;18426;4570;5051;13877;13877;32.2;1
août-81;17307.71666;16562;12485.77666;12013;7632.331064;7219;4853.4456;4794;0;0;0;0;4821.94;4549;118;816;1003;16257;4545;3828;5829;16257;4545;3828;11708;11708;29.9;1
sept-81;20410.6002;19482;13077.5202;12564;8431.6166;7975;4645.9036;4589;0;0;0;0;7333.08;6918;115;996;1114;19249;4739;5334;6750;19249;4739;5334;12331;12331;34.3;1
oct-81;23625.74022;22600;14669.80022;14151;8092.237424;7654;6577.5628;6497;0;0;0;0;8955.94;8449;85;1040;1169;22386;6481;5719;6911;21250.95904;5684.668436;5546.343459;13937;13120.14511;40.3;1.311297962
